ISB_Service,bus_stop_board,bus_stop_alight,day_of_the_week,time_start,travel_duration,frequency,punctuality,cleanliness,safety,coverage,crowdedness
D2,BIZ2,PGP Terminal,Wednesday,09:30:00,10 - 15 minutes,Neutral,Satisfied,Very Satisfied,Neutral,Satisfied,5.0
D2,Botanic Gardens MRT (BTC),KR MRT,Friday,10:45:45,10 - 15 minutes,Neutral,Satisfied,Satisfied,Neutral,Very Satisfied,4.0
A1,PGP Terminal,KR MRT,Friday,18:30:00,5 - 10 minutes,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,5.0
D2,Museum,CLB,Monday,14:00:00,5 - 10 minutes,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,3.0
E,IT,UTown,Friday,14:00:00,< 5 minutes,Very dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
D2,Opp KR MRT,COM3,Wednesday,09:00:00,10 - 15 minutes,Dissatisfied,Satisfied,Satisfied,Neutral,Satisfied,4.0
D2,UTown,Opp KR MRT,Tuesday,17:00:00,> 30 minutes,Very dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,1.0
D1,LT13,COM3,Wednesday,09:00:00,10 - 15 minutes,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,5.0
BTC (Bukit Timah Campus),CLB,AS5,Wednesday,16:05:00,15 - 20 minutes,Dissatisfied,Satisfied,Very Satisfied,Dissatisfied,Neutral,5.0
A2,Opp KR MRT,Ventus,Thursday,11:40:00,15 - 20 minutes,Very dissatisfied,Neutral,Neutral,Neutral,Satisfied,5.0
A2,IT,Opp KR MRT,Tuesday,15:42:17,20 - 30 minutes,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,5.0
A2,IT,Opp KR MRT,Friday,15:42:17,20 - 30 minutes,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,5.0
BTC (Bukit Timah Campus),Botanic Gardens MRT (BTC),UTown,Monday,09:20:00,20 - 30 minutes,Very dissatisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,1.0
D2,KR MRT,KR MRT,Monday,19:42:17,5 - 10 minutes,Satisfied,Neutral,Satisfied,Neutral,Very Satisfied,5.0
A2,Opp KR MRT,AS5,Thursday,09:30:00,10 - 15 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,5.0
D1,KR MRT,PGP Terminal,Monday,18:30:00,5 - 10 minutes,Dissatisfied,Neutral,Very Satisfied,Neutral,Satisfied,5.0
D2,KR MRT,Opp KR MRT,Wednesday,18:30:00,5 - 10 minutes,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,5.0
D2,LT27,UTown,Wednesday,07:45:45,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
D2,KR MRT,UTown,Monday,18:00:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,5.0
D2,KR MRT,UTown,Tuesday,18:00:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,5.0
D2,IT,UTown,Thursday,17:00:00,5 - 10 minutes,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,5.0
D1,CLB,LT27,Wednesday,14:00:00,10 - 15 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,3.0
BTC (Bukit Timah Campus),CLB,College Green (BTC),Wednesday,15:15:00,> 30 minutes,Dissatisfied,Satisfied,Very Satisfied,Neutral,Satisfied,1.0
D1,KR MRT,UTown,Monday,11:40:00,10 - 15 minutes,Neutral,Satisfied,Satisfied,Dissatisfied,Neutral,5.0
A1,LT13,KR MRT,Thursday,19:50:00,5 - 10 minutes,Very dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,4.0
A2,CLB,LT27,Friday,19:00:00,10 - 15 minutes,Neutral,Satisfied,Satisfied,Neutral,Neutral,4.0
A1,CLB,PGP Terminal,Monday,07:45:45,< 5 minutes,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,1.0
A2,LT13,KR MRT,Tuesday,09:20:00,5 - 10 minutes,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,5.0
A2,LT13,KR MRT,Friday,09:20:00,5 - 10 minutes,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,5.0
A1,UTown,CLB,Tuesday,07:45:45,< 5 minutes,Dissatisfied,Very Satisfied,Satisfied,Satisfied,Neutral,5.0
D2,KR MRT,CLB,Monday,07:45:45,10 - 15 minutes,Dissatisfied,Neutral,Very Satisfied,Neutral,Satisfied,4.0
D1,UTown,CLB,Friday,19:42:17,10 - 15 minutes,Neutral,Dissatisfied,Very Satisfied,Satisfied,Dissatisfied,4.0
D1,UTown,CLB,Wednesday,11:50:00,5 - 10 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,5.0
D2,S17,UTown,Tuesday,11:40:00,15 - 20 minutes,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,5.0
D2,S17,UTown,Friday,11:40:00,15 - 20 minutes,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,5.0
D1,KR MRT,LT27,Monday,18:42:17,5 - 10 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,4.0
D1,CLB,KR MRT,Wednesday,18:30:00,10 - 15 minutes,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,5.0
E,Botanic Gardens MRT (BTC),UTown,Friday,09:20:00,10 - 15 minutes,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,4.0
A1,S17,Opp KR MRT,Monday,12:45:00,< 5 minutes,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3.0
A1,S17,Opp KR MRT,Tuesday,12:45:00,< 5 minutes,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3.0
A1,S17,Opp KR MRT,Wednesday,12:45:00,< 5 minutes,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3.0
A1,S17,Opp KR MRT,Thursday,12:45:00,< 5 minutes,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3.0
A1,S17,Opp KR MRT,Friday,12:45:00,< 5 minutes,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3.0
D1,KR MRT,UTown,Tuesday,18:30:00,20 - 30 minutes,Very Satisfied,Dissatisfied,Satisfied,Neutral,Neutral,3.0
D1,LT13,UTown,Monday,07:45:45,10 - 15 minutes,Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,5.0
D2,KR MRT,UTown,Thursday,09:30:00,10 - 15 minutes,Dissatisfied,Neutral,Satisfied,Very Satisfied,Neutral,4.0
A2,LT27,UTown,Tuesday,19:00:00,5 - 10 minutes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4.0
A1,BIZ2,LT27,Monday,11:40:00,10 - 15 minutes,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,5.0
A1,LT13,UTown,Wednesday,18:42:17,5 - 10 minutes,Dissatisfied,Very Satisfied,Very Satisfied,Very dissatisfied,Satisfied,1.0
D1,PGP Terminal,Opp KR MRT,Friday,18:55:00,10 - 15 minutes,Neutral,Neutral,Very Satisfied,Satisfied,Very dissatisfied,1.0
A1,KR MRT,COM3,Wednesday,09:30:00,10 - 15 minutes,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,5.0
A2,KR MRT,Opp KR MRT,Tuesday,18:55:00,10 - 15 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,4.0
